time,deltaTime,deltaPress,dv
1491.563000,771.530000,30.440180,10.672120
1493.223000,773.190000,30.475090,10.714584
1494.883000,774.850000,30.510010,10.803174
1496.533000,776.500000,30.545160,10.822510
1498.193000,778.160000,30.580080,10.841724
1499.843000,779.810000,30.615230,10.859500
1501.503000,781.470000,30.650140,10.847541
1503.163000,783.130000,30.685300,10.938458
1504.813000,784.780000,30.720460,10.956280
1506.473000,786.440000,30.755610,10.975535
1508.123000,788.090000,30.790770,10.994901
1509.783000,789.750000,30.825920,10.981029
1511.443000,791.410000,30.861080,11.072735
1513.093000,793.060000,30.896480,11.092155
1514.753000,794.720000,30.931640,11.111454
1516.403000,796.370000,30.967040,11.129287
1518.063000,798.030000,31.002190,11.115052
1519.723000,799.690000,31.037590,11.169555
1521.373000,801.340000,31.072750,11.188951
1523.033000,803.000000,31.108150,11.246348
1524.683000,804.650000,31.143550,11.265801
1526.343000,806.310000,31.178950,11.251198
1528.003000,807.970000,31.214350,11.304574
1529.653000,809.620000,31.249750,11.324011
1531.313000,811.280000,31.285150,11.383382
1532.963000,812.930000,31.320800,11.402879
1534.623000,814.590000,31.356200,11.347837
1536.283000,816.250000,31.391600,11.440131
1537.933000,817.900000,31.427240,11.459611
1539.593000,819.560000,31.462640,11.480585
1541.243000,821.210000,31.498290,11.500058
1542.903000,822.870000,31.533690,11.483155
1544.563000,824.530000,31.569330,11.577851
1546.213000,826.180000,31.604980,11.558333
1547.873000,827.840000,31.640380,11.576042
1549.523000,829.490000,31.676020,11.636296
1551.183000,831.150000,31.711670,11.620641
1552.843000,832.810000,31.747310,11.675197
1554.493000,834.460000,31.782960,11.694699
1556.153000,836.120000,31.818600,11.714080
1557.803000,837.770000,31.854250,11.733574
1559.463000,839.430000,31.889890,11.715960
1561.123000,841.090000,31.925530,11.772430
1562.773000,842.740000,31.961180,11.791910
1564.433000,844.400000,31.996820,11.811269
1566.083000,846.050000,32.032470,11.830740
1567.743000,847.710000,32.068110,11.854229
1569.403000,849.370000,32.104000,11.911177
1571.053000,851.020000,32.139650,11.889011
1572.713000,852.680000,32.175290,11.906677
1574.363000,854.330000,32.210930,11.927797
1576.023000,855.990000,32.246580,11.952969
1577.683000,857.650000,32.282470,12.006853
1579.333000,859.300000,32.318110,11.986004
1580.993000,860.960000,32.353760,12.005319
1582.643000,862.610000,32.389400,12.065230
1584.303000,864.270000,32.425290,12.048261
1585.963000,865.930000,32.460930,12.063475
1587.613000,867.580000,32.496580,12.082891
1589.273000,869.240000,32.532220,12.102186
1590.923000,870.890000,32.567870,12.121594
1592.583000,872.550000,32.603510,12.145119
1594.243000,874.210000,32.639400,12.202924
1595.893000,875.860000,32.675050,12.179675
1597.553000,877.520000,32.710690,12.198950
1599.203000,879.170000,32.746340,12.218337
1600.863000,880.830000,32.781980,12.199090
1602.523000,882.490000,32.817620,12.256983
1604.173000,884.140000,32.853270,12.276358
1605.833000,885.800000,32.888910,12.295612
1607.483000,887.450000,32.924560,12.273521
1609.143000,889.110000,32.959960,12.254009
1610.803000,890.770000,32.995600,12.353586
1612.453000,892.420000,33.031250,12.372941
1614.113000,894.080000,33.066890,12.348719
1615.763000,895.730000,33.102290,12.284431
1617.423000,897.390000,33.137450,12.181277
1619.083000,899.050000,33.172360,12.237030
1620.733000,900.700000,33.207520,12.256035
1622.393000,902.360000,33.242430,12.231127
1624.043000,904.010000,33.277340,12.293919
1625.703000,905.670000,33.312500,12.275769
1627.363000,907.330000,33.347410,12.287791
1629.013000,908.980000,33.382320,12.306710
1630.673000,910.640000,33.417230,12.327276
1632.323000,912.290000,33.452150,12.346190
1633.983000,913.950000,33.487060,12.283665
1635.643000,915.610000,33.521730,12.339558
1637.293000,917.260000,33.556640,12.401021
1638.953000,918.920000,33.591550,12.377112
1640.603000,920.570000,33.626220,12.395940
1642.263000,922.230000,33.661130,12.377314
1643.923000,923.890000,33.695800,12.433473
1645.573000,925.540000,33.730710,12.452290
1647.233000,927.200000,33.765380,12.427975
1648.883000,928.850000,33.800050,12.444926
1650.543000,930.510000,33.834710,12.426068
1652.203000,932.170000,33.869380,12.484089
1653.853000,933.820000,33.904050,12.502825
1655.513000,935.480000,33.938720,12.521444
1657.163000,937.130000,33.973390,12.538364
1658.823000,938.790000,34.008050,12.475869
1660.483000,940.450000,34.042480,12.533973
1662.133000,942.100000,34.077150,12.550810
1663.793000,943.760000,34.111570,12.569345
1665.443000,945.410000,34.146240,12.587989
1667.103000,947.070000,34.180660,12.524942
1668.763000,948.730000,34.215090,12.581298
1670.413000,950.380000,34.249510,12.598037
1672.073000,952.040000,34.283930,12.618322
1673.723000,953.690000,34.318360,12.636884
1675.383000,955.350000,34.352780,12.615437
1677.043000,957.010000,34.387200,12.627868
1678.693000,958.660000,34.421380,12.648197
1680.353000,960.320000,34.455810,12.666571
1682.003000,961.970000,34.489990,12.683204
1683.663000,963.630000,34.524410,12.663367
1685.323000,965.290000,34.558590,12.675540
1686.973000,966.940000,34.592770,12.693945
1688.633000,968.600000,34.626950,12.712236
1690.283000,970.250000,34.661130,12.730635
1691.943000,971.910000,34.695310,12.710574
1693.603000,973.570000,34.729490,12.767312
1695.253000,975.220000,34.763670,12.738943
1696.913000,976.880000,34.797600,12.757151
1698.563000,978.530000,34.831780,12.777343
1700.223000,980.190000,34.865720,12.757062
1701.883000,981.850000,34.899900,12.813861
1703.533000,983.500000,34.933840,12.785076
1705.193000,985.160000,34.967770,12.803206
1706.843000,986.810000,35.001710,12.821442
1708.503000,988.470000,35.035640,12.800947
1710.163000,990.130000,35.069580,12.857796
1711.813000,991.780000,35.103510,12.828594
1713.473000,993.440000,35.137200,12.848542
1715.123000,995.090000,35.171140,12.866699
1716.783000,996.750000,35.204830,12.845989
1718.443000,998.410000,35.238770,12.902895
1720.093000,1000.060000,35.272460,12.873280
1721.753000,1001.720000,35.306150,12.891249
1723.403000,1003.370000,35.339840,12.909324
1725.063000,1005.030000,35.373530,12.888405
1726.723000,1006.690000,35.407220,12.899248
1728.373000,1008.340000,35.440670,12.917251
1730.033000,1010.000000,35.474360,12.981380
1731.683000,1011.650000,35.508050,12.953139
1733.343000,1013.310000,35.541500,12.885782
1735.003000,1014.970000,35.574950,12.989016
1736.653000,1016.620000,35.608640,13.007004
1738.313000,1018.280000,35.642090,12.976383
1739.963000,1019.930000,35.675530,12.994299
1741.623000,1021.590000,35.708980,12.974904
1743.283000,1023.250000,35.742430,12.983263
1744.933000,1024.900000,35.775630,13.001107
1746.593000,1026.560000,35.809080,13.067673
1748.243000,1028.210000,35.842530,13.036679
1749.903000,1029.870000,35.875730,13.015140
1751.563000,1031.530000,35.909180,13.072240
1753.213000,1033.180000,35.942380,13.040970
1754.873000,1034.840000,35.975580,13.060590
1756.523000,1036.490000,36.008790,13.078351
1758.183000,1038.150000,36.041990,13.054643
